prediction_target,method,gene_pcc_mean,gene_pcc_median,gene_pcc_first_quartile,spot_pcc_mean,spot_pcc_median,rmse,mae,mse,ssim,cmd
B1,raw,0.29493551557395103,0.2603635787963867,0.1427263244986534,0.6674439870387091,0.6921941041946411,0.38056713342666626,0.22167302668094635,0.1448313444852829,0.34773145228601876,0.3449942781841585
B1,direct,0.29164496106029547,0.2461632639169693,0.13426179438829422,0.6623035236692508,0.688883900642395,0.38462021946907043,0.21584340929985046,0.14793270826339722,0.3624829083233812,0.25883514625116777
B1,indirect,0.29493551557395103,0.2603635787963867,0.1427263244986534,0.6674439870387091,0.6921941041946411,0.38056713342666626,0.22167302668094635,0.1448313444852829,0.34773145228601876,0.3449942781841585
B1,Ridge,0.26449126241717236,0.24216040968894958,0.11954279243946075,0.6444594783101383,0.6647517681121826,0.3912588059902191,0.23533551394939423,0.1530834436416626,0.33349122604389225,0.23958644267812734
B1,Final,0.30245628740432806,0.2658124268054962,0.14519839733839035,0.6691874489969167,0.6921459436416626,0.37898337841033936,0.22363264858722687,0.14362840354442596,0.35811486400933096,0.28459887391310545
A2,raw,0.3080481312113504,0.2807054817676544,0.1664770320057869,0.6669951550179302,0.657892107963562,0.36506369709968567,0.20863386988639832,0.1332715004682541,0.3638357485366837,0.3622695925135988
A2,direct,0.3032617321804476,0.26771877706050873,0.16340597718954086,0.6658170074232803,0.6627417206764221,0.36812496185302734,0.2044428288936615,0.1355159878730774,0.37766997056495333,0.28343878392949995
A2,indirect,0.3080481312113504,0.2807054817676544,0.1664770320057869,0.6669951550179302,0.657892107963562,0.36506369709968567,0.20863386988639832,0.1332715004682541,0.3638357485366837,0.3622695925135988
A2,Ridge,0.2784858447771209,0.23909496515989304,0.14955007284879684,0.6405438673394054,0.6360181570053101,0.37661510705947876,0.2188521772623062,0.141838937997818,0.356710290712475,0.2519209668234006
A2,Final,0.31396031264021684,0.28967827558517456,0.18124328553676605,0.6676440604592171,0.6621685028076172,0.3646695613861084,0.21054325997829437,0.13298389315605164,0.3752785391704315,0.29751021382780773
